tradition,attribute,dark_magic,name,area,target,duration,requirement,description,utility_or_attack,book,page_number,spell_level,image_path,source_pdf,pdf_page
Air,Will,no,Bind Air Genie,,"A cube of air, 2 yards on a side, originating from a point within long range",1 minute,,"At the end of the round in which you cast this spell, the target cube becomes a Size 2 wind genie. You cannot voluntarily end this spell. When the genie appears, make a Will attack roll against its Will. The genie becomes compelled for the duration on a success, or becomes hostile to you on a failure.",UTILITY,SHADOW,116,5,extracted_images/air_bind_air_genie_p22.png,SotDL - Spell Cards - Air.pdf,22
Alteration,Will,no,Comprehension,,You and one creature you can reach,"Concentration, up to 1 minute",,"You touch the target. Provided it knows at least one language, you can communicate with the target for the duration while you maintain physical contact with it, regardless of whether you share any languages.",UTILITY,SHADOW,116,0,extracted_images/alteration_comprehension_p02.png,SotDL - Spell Cards - Alteration.pdf,2
Alteration,Will,no,Distort Appearance,,One creature you can reach,1 minute,,"You touch the target, causing it to appear indistinct. For the duration, when the target attempts to hide, it makes the Agility challenge roll with 1 boon and creatures that can see the target and attack its Defense or Agility make their attack rolls with 1 bane.",UTILITY,SHADOW,116,0,extracted_images/alteration_distort_appearance_p04.png,SotDL - Spell Cards - Alteration.pdf,4
Alteration,Will,no,Enhance Senses,,One creature you can reach,1 hour,,"You touch the target. For the duration, it gains a +5 bonus to Perception and can see in areas obscured by shadows or darkness as if those areas were lit; however, it makes challenge rolls with 1 bane to resist becoming blinded or deafened.",UTILITY,SHADOW,116,1,extracted_images/alteration_enhance_senses_p06.png,SotDL - Spell Cards - Alteration.pdf,6
Alteration,Will,no,Spider Climb,,One creature you can reach,1 hour,,"You touch the target. For the duration, it can move at its Speed across walls, ceilings, and overhangs, and it never needs to make a challenge roll to climb.",UTILITY,SHADOW,116,1,extracted_images/alteration_spider_climb_p08.png,SotDL - Spell Cards - Alteration.pdf,8
Alteration,Will,no,Underwater Adaption,,One creature you can reach,1 hour,,"You touch the target. For the duration, it can breathe water as easily as it breathes air, moves at full Speed while swimming, and never needs to make a challenge roll to swim.",UTILITY,SHADOW,116,1,extracted_images/alteration_underwater_adaption_p10.png,SotDL - Spell Cards - Alteration.pdf,10
Alteration,Will,no,Bolster Attribute,,One creature you can reach,1 minute,,"You touch the target. Choose Strength, Agility, Intellect, or Will. For the duration, when the target makes an attack roll or challenge roll using the chosen attribute, it makes the roll with 1 boon.",UTILITY,SHADOW,116,2,extracted_images/alteration_bolster_attribute_p12.png,SotDL - Spell Cards - Alteration.pdf,12
Alteration,Will,no,Bolster Defense,,: One creature you can reach,: 1 minute,,"You touch the target. For the duration, the target gains a +5 bonus to Health, and attack rolls against the target are made with 1 bane.",UTILITY,SHADOW,116,2,extracted_images/alteration_bolster_defense_p14.png,SotDL - Spell Cards - Alteration.pdf,14
Alteration,Will,no,Alter Size,,One creature you can reach,1 minute,,"You touch the target, which grows or shrinks and remains at its new Size for the duration. Everything the target wears and carries also grows or shrinks to accommodate the new form, though if such an object leaves the target's possession it immediately returns to its normal size. If the target grows, its Size doubles and it gains a +10 bonus to Health. Its weapon attacks deal 1d6 extra damage if its new Size is 3 or less, or 2d6 extra damage if its new Size is 4 or more. If the space the target occupies is not large enough to accommodate its new Size, the target takes 5d6 damage and the eff ect ends immediately. If the target shrinks, its Size is halved. It deals half damage with weapon attacks, makes Strength attack rolls and challenge rolls with 1 bane, and makes Agil ty attack rolls and challenge rolls with 1 boon.",UTILITY,SHADOW,116,3,extracted_images/alteration_alter_size_p16.png,SotDL - Spell Cards - Alteration.pdf,16
Alteration,Will,no,Regeneration,,One living creature you can reach,1 minute,,"You touch the target. At the end of each round for the duration, the target heals damage equal to half its healing rate.",UTILITY,SHADOW,117,3,extracted_images/alteration_regeneration_p18.png,SotDL - Spell Cards - Alteration.pdf,18
Alteration,Will,no,Malleability,,One creature you can reach,1 hour,,"You touch the target. Choose Strength, Agility, Intellect, or Will and roll 1d6. The target gains a bonus to the chosen attribute score equal to the number rolled, up to a maximum score of 20, for the duration. The increase also aff ects any characteristic associated with the attribute.",UTILITY,SHADOW,117,4,extracted_images/alteration_malleability_p20.png,SotDL - Spell Cards - Alteration.pdf,20
Alteration,Will,no,Awaken Potential,,One creature you can reach,1 hour,,"You touch the target. Choose Strength, Agility, Intellect, or Will and roll 1d6. The target gains a bonus to the chosen attribute score equal to the number rolled, up to a maximum score of 20, for the duration. The increase also aff ects any characteristic associated with the attribute.",UTILITY,SHADOW,117,5,extracted_images/alteration_awaken_potential_p22.png,SotDL - Spell Cards - Alteration.pdf,22
Arcana,Intellect,no,Arcane Armor,,,4 hours,You must not be wearing armor.,"An invisible field of force springs into existence around you, granting a +2 bonus to your Defense for the duration. As well, for the duration, normal precipitation does not touch you, light wind does not aff ect you, and you are not discomfi ted by cold or heat, though you still take damage from cold and fire.",UTILITY,SHADOW,117,0,extracted_images/arcana_arcane_armor_p02.png,SotDL - Spell Cards - Arcana.pdf,2
Arcana,Intellect,no,Magic Dart,,One creature or object within long range,,,"A magical dart flies from your fingertip. The dart automatically hits, provided there is an unobstructed path between you and the target. The target takes 1d3 + 1 damage.",ATTACK,SHADOW,117,0,extracted_images/arcana_magic_dart_p04.png,SotDL - Spell Cards - Arcana.pdf,4
Arcana,Intellect,no,Arcane Shield,,,1 minute,,"For the duration, a barrier of energy shields you, imposing 1 bane on attack rolls against your Defense or Agility. Triggered When a creature makes an attack roll against your Defense or Agility, you can use a triggered action to cast this spell. The triggering creature makes the attack roll with 3 banes, and then the eff ect ends.",UTILITY,SHADOW,117,1,extracted_images/arcana_arcane_shield_p06.png,SotDL - Spell Cards - Arcana.pdf,6
Arcana,Intellect,no,Arcane Sight,,,1 minute,,"For the duration, you see auras around creatures, objects, and areas aff ected by magic. At the GM's discretion, you might also learn the tradition to which the magic belongs.",UTILITY,SHADOW,117,1,extracted_images/arcana_arcane_sight_p08.png,SotDL - Spell Cards - Arcana.pdf,8
Arcana,Intellect,no,Unerring Darts,,Up to three creatures or objects within long range,,,"Seven magical darts fly from your fingertip, divided as you choose among the targets. Each dart automatically hits, provided there is an unobstructed path between you and the target. A target takes 1 damage for each dart that hits it.",ATTACK,SHADOW,117,1,extracted_images/arcana_unerring_darts_p10.png,SotDL - Spell Cards - Arcana.pdf,10
Arcana,Intellect,no,Empowered Magic,,,1 minute,,"For the duration, when you cast an attack spell, you make any required attack roll with 1 boon, and challenge rolls made to resist the spell's eff ect are made with 1 bane.",UTILITY,SHADOW,117,2,extracted_images/arcana_empowered_magic_p12.png,SotDL - Spell Cards - Arcana.pdf,12
Arcana,Intellect,no,Explosive Darts,,Up to three creatures or objects within long range,,,"T ree magical darts fly from your fingertip, divided as you choose among the targets. Each dart automatically hits provided there is an unobstructed path between you and the target. Each dart deals 1 damage to its target, then explodes in a 1-yard radius from a point within the target's space. Everything in the area takes 1d6 + 1 damage, or half the damage with a success on an Agility challenge roll.",ATTACK,SHADOW,117,2,extracted_images/arcana_explosive_darts_p14.png,SotDL - Spell Cards - Arcana.pdf,14
Arcana,Intellect,no,Arcane Lightning,"A cone, 5 yards long, originating from a point you can reach",,,,"Lightning deals 5d6 damage to everything in the area. Each creature in the area must make an Agility challenge roll, taking half the damage on a success.",ATTACK,SHADOW,118,3,extracted_images/arcana_arcane_lightning_p16.png,SotDL - Spell Cards - Arcana.pdf,16
Arcana,Intellect,no,Destroy Magic,"A cube, 5 yards on a side, originating from a point within medium range",,,,All eff ects created by rank 3 or lower spells that aff ect anything in the area end immediately.,UTILITY,SHADOW,118,3,extracted_images/arcana_destroy_magic_p18.png,SotDL - Spell Cards - Arcana.pdf,18
Arcana,Intellect,no,Harness Magic,,,See the effect,,"Roll 1d6 + 3 to determine how many points of magical energy you harness. You retain these points until you complete a rest or you spend them. While you have points remaining, you cannot again cast harness magic. You can cast a spell you have learned by spending a number of points of magical energy equal to the rank of the spell (minimum 1) without expending a casting from that spell.",UTILITY,SHADOW,118,4,extracted_images/arcana_harness_magic_p20.png,SotDL - Spell Cards - Arcana.pdf,20
Arcana,Intellect,no,Arcane Retribution,,,4 hours; see the eff ect,,"You gain a +5 bonus to Defense for the duration. The next time a creature within short range of you would get a success on an attack roll with a weapon against you, this eff ect ends and the success automatically becomes a failure. The triggering creature must make a Strength challenge roll. On a failure, it takes 10d6 damage, is moved 2d6 yards away from you, and falls prone. It takes half the damage on a success.",ATTACK,SHADOW,118,5,extracted_images/arcana_arcane_retribution_p22.png,SotDL - Spell Cards - Arcana.pdf,22
Battle,Intellect,no,Augmented Attack,,,,,"As part of casting this spell, you make an attack with a weapon. You make the attack roll with 1 boon and can use Intellect instead of the attack's normal attribute.",ATTACK,SHADOW,118,0,extracted_images/battle_augmented_attack_p02.png,SotDL - Spell Cards - Battle.pdf,2
Battle,Intellect,no,Celerity,,,,,"You move up to twice your Speed. This movement does not trigger free attacks. Triggered You can use a triggered action on your turn to cast this spell. If you do so, you instead move up to your Speed without triggering free attacks.",UTILITY,SHADOW,118,0,extracted_images/battle_celerity_p04.png,SotDL - Spell Cards - Battle.pdf,4
Battle,Intellect,no,Close Wounds,,,,,"You heal damage equal to your healing rate. Triggered You can use a triggered action on your turn to cast this spell. If you do so, you instead heal damage equal to half your healing rate.",UTILITY,SHADOW,118,1,extracted_images/battle_close_wounds_p06.png,SotDL - Spell Cards - Battle.pdf,6
Battle,Intellect,no,Mighty Attack,,,,,"As part of casting this spell, you make an attack with a weapon. You make the attack roll with 1 boon and can use Intellect instead of the attack's normal attribute. On a success, the target takes 2d6 extra damage.",ATTACK,SHADOW,118,1,extracted_images/battle_mighty_attack_p08.png,SotDL - Spell Cards - Battle.pdf,8
Battle,Intellect,no,Resounding Attack,,,,,"As part of casting this spell, you make an attack with a weapon. You make the attack roll with 1 boon and can use Intellect instead of the attack's normal attribute. On a success, the target takes damage as normal and becomes dazed for 1 round.",ATTACK,SHADOW,118,1,extracted_images/battle_resounding_attack_p10.png,SotDL - Spell Cards - Battle.pdf,10
Battle,Intellect,no,Arc of Death,,Each creature you choose that you can reach,,,"You sweep your melee weapon around you in a deadly arc, dealing 3d6 + 3 damage to each target instead of the weapon's normal damage. Each target takes half the damage with a success on an Agility challenge roll.",ATTACK,SHADOW,118,2,extracted_images/battle_arc_of_death_p12.png,SotDL - Spell Cards - Battle.pdf,12
Battle,Intellect,no,Mountain Fall,,,,,"You fly up to twice your Speed, then land. When you land, a shock wave spreads out through the ground in a 4-yard radius from a point within your space. Each creature on the ground must make an Agility challenge roll. On a failure, the creature takes 2d6 damage and falls prone.",ATTACK,SHADOW,118,2,extracted_images/battle_mountain_fall_p14.png,SotDL - Spell Cards - Battle.pdf,14
Battle,Intellect,no,Battle Prowess,,,1 minute,,"You bolster your fighting skills. For the duration, whenever you attack with a weapon, you can make the attack roll twice and use the better result. As well, your weapon attacks deal 1d6 extra damage for the duration.",UTILITY,SHADOW,119,3,extracted_images/battle_battle_prowess_p16.png,SotDL - Spell Cards - Battle.pdf,16
Battle,Intellect,no,Meteoric Assault,,,,,"You move up to twice your Speed in a straight line. During this movement, you can make a weapon attack against each creature you can reach, but no more than once per creature. For each attack af er the first, you make the attack roll with 1 bane and each attack deals 1d6 extra damage. You can use Intellect instead of the attack's normal attribute.",ATTACK,SHADOW,119,3,extracted_images/battle_meteoric_assault_p18.png,SotDL - Spell Cards - Battle.pdf,18
Battle,Intellect,no,Wall of Swords,"A line, 20 yards long, 5 yards high, and 2 yards wide originating from a point within long range",,1 hour,,"A wall of slashing swords forms in the area and remains for the duration. It totally covers everything behind it. When the wall appears, everything in the area takes 5d6 damage. A creature takes half the damage with a success on an Agility challenge roll. Creatures can move through the area, treating it as diffi cult terrain. When a creature enters the area from outside, or if it is inside the area at the end of the round, it mut get a success on an Agility challenge roll or take 3d6 damage.",ATTACK,SHADOW,119,4,extracted_images/battle_wall_of_swords_p20.png,SotDL - Spell Cards - Battle.pdf,20
Battle,Intellect,no,Strike Like Lightning,A sphere with a radius equal to half your,,,,"Speed centered on a point you can reach You move like a blur, striking furiously as you go. Each creature you choose in the area must make an Agility challenge roll with 1 bane. On a failure, it takes 4d6 + 3 damage. Then move up to half your Speed. This movement does not trigger free attacks.",ATTACK,SHADOW,119,5,extracted_images/battle_strike_like_lightning_p22.png,SotDL - Spell Cards - Battle.pdf,22
Celestial,Will,no,Burning Beam,,One creature or object within medium range,,,"A fiery beam leaps from your hand. Make a Will attack roll against the target's Agility. On a success, the target takes 1d6 damage. Attack Roll 20+ The target also becomes blinded for 1 round.",ATTACK,SHADOW,119,0,extracted_images/celestial_burning_beam_p02.png,SotDL - Spell Cards - Celestial.pdf,2
Celestial,Will,no,Light,,One object you can reach,1 hour,,"You touch the target, and light shines from it in a 5-yard radius for the duration.",UTILITY,SHADOW,119,0,extracted_images/celestial_light_p04.png,SotDL - Spell Cards - Celestial.pdf,4
Celestial,Will,no,Flash,,One sighted creature within short range,,,"A flash of brilliant light appears before the target. Make a Will attack roll against the target's Perception. On a success, the target becomes blinded for 1 round. Attack Roll 20+ The target instead becomes blinded for 1 minute.",ATTACK,SHADOW,119,1,extracted_images/celestial_flash_p06.png,SotDL - Spell Cards - Celestial.pdf,6
Celestial,Will,no,Persistant Light,,One object you can reach,8 hours,,"You touch the target, and light shines from it in a 10-yard radius for the duration.",UTILITY,SHADOW,119,1,extracted_images/celestial_persistant_light_p08.png,SotDL - Spell Cards - Celestial.pdf,8
Celestial,Will,no,Rainbow Burst,,A point in space within medium range,,,"A glowing speck flies in a straight line from your fingertip toward the target. When it reaches that point, or if it encounters a solid creature or object before then, it explodes in colorful lights. The lights spread through a 1-yard-radius sphere centered on the target or on a point in the creature's or object's space. Each sighted creature in the area must succeed on a Perception challenge roll or become dazed for 1 round.",ATTACK,SHADOW,119,1,extracted_images/celestial_rainbow_burst_p10.png,SotDL - Spell Cards - Celestial.pdf,10
Celestial,Will,no,Dawn,A sphere with a 10-yard radius centered on a point within long range,,1 hour,,"Sunlight spreads through the area for the duration, ending magical shadows or darkness in the area created by spells of rank 2 or lower.",UTILITY,SHADOW,119,2,extracted_images/celestial_dawn_p12.png,SotDL - Spell Cards - Celestial.pdf,12
Celestial,Will,no,Sunrays,,Up to three creatures or objects within medium range,,,"T ree blazing beams fly from your hand, divided as you choose among the targets. For each beam, make a Will attack roll against the target's Agility. On a success, the target takes 1d6 damage. If it can see, it also becomes impaired for 1 round. Attack Roll 20+ The target takes 1d3 extra damage.",ATTACK,SHADOW,120,2,extracted_images/celestial_sunrays_p14.png,SotDL - Spell Cards - Celestial.pdf,14
Celestial,Will,no,Radiation,A sphere with a 3-yard radius centered on a point within long range,,1 minute,,"A dim green glow spreads through the area, turning darkness to shadows for the duration. Everything in the area takes 1d6 damage when you cast the spell and at the end of each round thereaf er for the duration. Each creature that takes damage in this way must make a Strength challenge roll. On a failure, it becomes fatigued for 1 round and is slowed while fatigued in this way. On a success, the creature takes half the damage.",ATTACK,SHADOW,120,3,extracted_images/celestial_radiation_p16.png,SotDL - Spell Cards - Celestial.pdf,16
Celestial,Will,no,Starfall,,A point in space within medium range,,,"A mote of white light appears anywhere within range and streaks toward the target. When it reaches that point, or if it encounters a solid creature or object before then, it explodes. Flames spread through a 3-yard-radius sphere centered on the target or on a point in the creature's or object's space, dealing 2d6 + 2 damage to everything in the area. Each creature in the area must make a Strength challenge roll. It becomes impaired for 1 round on a failure, or just takes half the damage on a success.",ATTACK,SHADOW,120,3,extracted_images/celestial_starfall_p18.png,SotDL - Spell Cards - Celestial.pdf,18
Celestial,Will,no,Nova,A sphere with an 8-yard radius centered on a point you can reach,,,,"Brilliant light explodes to spread through the area. Each creature in the area other than you takes 2d6 + 2 damage and must make a Strength challenge roll. It becomes blinded for 1 round on a failure, or just takes half the damage on a success.",ATTACK,SHADOW,120,4,extracted_images/celestial_nova_p20.png,SotDL - Spell Cards - Celestial.pdf,20
Celestial,Will,no,Sunbeam,"A line, 25 yards long and 1 yard wide, originating from a point you can reach",,,,"You loose a beam of brilliant, blazing light from your hand, dealing 3d6 + 3 damage to everything in the area. Each creature that takes damage in this way must make a Strength challenge roll. It becomes blinded for 1 minute on a failure, or just takes half the damage on a success.",ATTACK,SHADOW,120,5,extracted_images/celestial_sunbeam_p22.png,SotDL - Spell Cards - Celestial.pdf,22
Chaos,Will,no,Chaos Boon,,,1 minute,,"For the duration, you roll a chaos die (a d6) whenever you make an attack roll or a challenge roll. You apply an odd number as a penalty to the d20 roll and an even number as a bonus to the roll.",UTILITY,SHADOW,120,0,extracted_images/chaos_chaos_boon_p02.png,SotDL - Spell Cards - Chaos.pdf,2
Chaos,Will,no,Eratic Bolt,,One creature or object within medium range,,,"A sparkling, fizzing blob of color flies from your hand. Make a Will attack roll against the target's Agility. On a success, the target takes 1d6 damage. Af er the attack roll, roll a d6. On a 6, repeat the attack against a diff erent target, friend or foe, within medium range of the previous target. You choose the target if more than one is possible. Attack Roll 20+ The target takes 1d6 extra damage.",ATTACK,SHADOW,120,0,extracted_images/chaos_eratic_bolt_p04.png,SotDL - Spell Cards - Chaos.pdf,4
Chaos,Will,no,Capricious Devastation,,One creature or object within medium range,,,"A flickering ball of energy leaps from your hand. Make a Will attack roll against the target's Agility and roll a d6. You apply an odd number as a penalty to the attack roll and an even number as a bonus to the roll. On a success, the target takes 2d6 damage, plus 2d6 extra damage if you had a penalty on the attack roll from this spell. Attack Roll 20+ The target also teleports 1d6 yards to an open space in a direction you choose.",ATTACK,SHADOW,120,1,extracted_images/chaos_capricious_devastation_p06.png,SotDL - Spell Cards - Chaos.pdf,6
Chaos,Will,no,Fold Space,,,,,"Roll 2d6. You teleport to an open space of your choice within a number of yards equal to the total of the roll. Triggered You can use a triggered action to cast this spell on your turn. If you do so, you roll 1d6 instead of 2d6 to determine the distance teleported.",UTILITY,SHADOW,120,1,extracted_images/chaos_fold_space_p08.png,SotDL - Spell Cards - Chaos.pdf,8
Chaos,Will,no,Iridescent Shield,,,1 hour; see the eff ect,,"A shimmering, colorful field springs into existence around you. Roll a d6 and add the number as a bonus to your Defense. Each time a creature makes an attack against your Defense, reduce this bonus by 1 (to a minimum of 0, which ends the eff ect).",UTILITY,SHADOW,120,1,extracted_images/chaos_iridescent_shield_p10.png,SotDL - Spell Cards - Chaos.pdf,10
Chaos,Will,no,Color of Magic,,A point in space within medium range,,,"A colorful globe speeds from your hand toward the target. When it reaches that point, or if it encounters a solid creature or object before then, it explodes. Chaotic, colorful energy spreads through a 1-yard-radius sphere centered on the target or on a point in the creature's or object's space. Everything in the area takes 1d6 + 1 damage. If you rolled an odd number on the damage die, everything in the area takes 3d6 extra damage.",ATTACK,SHADOW,120,2,extracted_images/chaos_color_of_magic_p12.png,SotDL - Spell Cards - Chaos.pdf,12
Chaos,Will,no,Flicker,,,1d6 minutes,,"You pop in and out of existence. At the end of each round for the duration, roll a d6. You teleport to an open space within a number of yards equal to the number rolled. If the number was odd, the GM chooses where you appear. If even, you choose.",UTILITY,SHADOW,120,2,extracted_images/chaos_flicker_p14.png,SotDL - Spell Cards - Chaos.pdf,14
Chaos,Will,no,Chaotic Lance,"A shapeable line, 15 yards long and 2 yards wide, originating from a point you can reach",,,,"A stream of colorful energy spreads through the area. Each creature in the area must make a Will challenge roll. It takes 5d6 + 5 damage on a failure, or heals 2d6 + 5 damage on a success.",ATTACK,SHADOW,120,3,extracted_images/chaos_chaotic_lance_p16.png,SotDL - Spell Cards - Chaos.pdf,16
Chaos,Will,no,Wild Magic,A sphere with a radius of 1d6 yards centered on a point you can reach,,,,"Weird lights, strange sounds, and other oddness spreads out through the area. Roll a d20 to see what happens. Wild Magic d20 Roll Eff ect 1 1d6 small demons appear in open spaces within the area. They are not friendly. 2-3 Each creature in the area gains 1 Insanity. 4-5 Each creature in the area makes attack rolls and challenge rolls with 1 bane for 1 round. 6-8 Each creature in the area takes 3d6 + 5 damage, or half the damage with a success on a Strength challenge roll. 9-13 You regain the casting of this spell. 14-15 Each creature in the area heals 3d6 + 5 damage. 16-17 Each creature in the area makes attack rolls and challenge rolls with 1 boon for 1 round. 18-19 Each creature in the area can take one extra turn before the end of the next round. 20 You regain the casting of one rank 3 or lower spell.",UTILITY,SHADOW,121,3,extracted_images/chaos_wild_magic_p18.png,SotDL - Spell Cards - Chaos.pdf,18
Chaos,Will,no,Mirror Field,"A shapeable line, 10 yards long, 5 yards tall, and 1 yard wide, originating from a point within medium range",,1 minute,,"A mirror-like barrier fills the area for the duration, totally obscuring the area behind it. When a creature enters its space, roll a d6. An even number causes the creature to move 1 yard through the barrier to an open space on the other side (it chooses the direction). An odd number teleports the creature to an open space of your choice on a solid horizontal surface within a number of yards equal to the number rolled.",UTILITY,SHADOW,121,4,extracted_images/chaos_mirror_field_p20.png,SotDL - Spell Cards - Chaos.pdf,20
Chaos,Will,no,Singularity,A sphere with a 10-yard radius centered on a point in space within long range,,1 round,,"A roiling clot of color appears at the origin point and remains for the duration. When you cast the spell, unsecured objects in the area are moved 2d6 yards toward the origin point. Each creature within the area when you cast the spell or that enters the area must make a Strength challenge roll with 1 bane. On a failure, the creature is moved 2d6 yards toward the origin point and cannot move away from it for the duration. Any creature or object that reaches that point takes 10d6 damage. If it becomes incapacitated by this damage, it is erased utterly from existence, its body and soul vanishing forever. When the eff ect ends, the clot explodes, dealing 4d6 damage to everything in the spell's area. Each creature in the area must make a Strength challenge roll. It falls prone on a failure, or just takes half the damage on a success.",ATTACK,SHADOW,121,5,extracted_images/chaos_singularity_p22.png,SotDL - Spell Cards - Chaos.pdf,22
Conjuration,Intellect,no,Conjure Useful Item,"A cube of space, 1 yard on a side, originating from a point you can reach",,1 minute,,A Size 1 or smaller object that is neither magical nor worth more than 1 ss appears in the area.,UTILITY,SHADOW,121,0,extracted_images/conjuration_conjure_useful_item_p02.png,SotDL - Spell Cards - Conjuration.pdf,2
Conjuration,Intellect,no,Direct Conjuration,,One creature within short range created by your casting of a Conjuration spell,,,You move the target up to half its Speed.,UTILITY,SHADOW,121,0,extracted_images/conjuration_direct_conjuration_p04.png,SotDL - Spell Cards - Conjuration.pdf,4
Conjuration,Intellect,no,Conjure Feast,"A cube of space, 2 yards on a side, originating from a point you can reach",,I hour; see the eff ect,,"A sumptuous, wholesome feast appears on horizontal surfaces in the area, enough to sustain up to five creatures for one day. Anything not consumed vanishes when the eff ect ends.",UTILITY,SHADOW,121,1,extracted_images/conjuration_conjure_feast_p06.png,SotDL - Spell Cards - Conjuration.pdf,6
Conjuration,Intellect,no,Conjure Small Monster,"A cube of space, 1 yard on a side, originating from a point within medium range and resting on a solid surface",,1 minute,,One compelled small monster appears in the area.,UTILITY,SHADOW,121,1,extracted_images/conjuration_conjure_small_monster_p08.png,SotDL - Spell Cards - Conjuration.pdf,8
Conjuration,Intellect,no,Conjure Weapon,,,1 hour,,"A weapon or bundle of ammunition appears in your hand or hands, or at your feet if you don’t have a hand free.",UTILITY,SHADOW,121,1,extracted_images/conjuration_conjure_weapon_p10.png,SotDL - Spell Cards - Conjuration.pdf,10
Conjuration,Intellect,no,Conjure Steeds,,"A cube, 10 yards on a side, originating from a point within medium range and resting on a solid surface",2 hours,,A group of 1d6 steeds (as horse) appear in the area. They can have any appearance you choose. The conjured steeds are friendly to you and become compelled by any creature that rides them. Sacrifi ce You can expend a casting of this spell to cast conjure small monster.,UTILITY,SHADOW,122,2,extracted_images/conjuration_conjure_steeds_p12.png,SotDL - Spell Cards - Conjuration.pdf,12
Conjuration,Intellect,no,Conjure Medium Monster,"A cube of space, 2 yards on a side, originating from a point within medium range and resting on a solid surface",,1 minute,,Either one compelled medium monster or two compelled small monsters appear in the area.,UTILITY,SHADOW,122,2,extracted_images/conjuration_conjure_medium_monster_p14.png,SotDL - Spell Cards - Conjuration.pdf,14
